"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"N96-0055"	69.4338	24.0021	27.4169	47.8347	11.0447	171.2962
"N96-0060"	47.0562	14.8015	26.9224	42.6888	NA	NA
"N96-0111"	41.6271	12.1749	25.9714	45.4798	NA	NA
"N96-0123"	40.6024	12.8847	25.7468	46.5897	NA	NA
"N97-0090"	53.6657	9.0365	17.9473	30.6592	7.9551	170.6232
"N97-0100"	67.6778	16.604	23.5172	54.5318	NA	171.1385
"N97-0117"	68.6046	23.667	28.0209	64.308	11.5557	170.6712
"N97-0189"	71.0125	24.067	32.1387	60.0724	NA	170.6385
"N97-0322"	52.9351	14.0828	30.2018	48.1036	9.7116	NA
"N97-0323"	41.2786	9.2933	18.9743	42.1722	9.974	NA
"N97-0324"	27.5768	6.5544	10.7573	40.4635	10.919	NA
"N97-0326"	49.239	4.1312	16.2581	20.4344	7.3343	NA
"N97-2627"	50.8272	11.2071	19.1405	33.4105	NA	173.1385
"N98-0286"	58.2216	21.3192	28.462	48.4038	12.1972	173.1852
